"BehaviorSpace results (NetLogo 6.2.0)"
"draft-adjusting.nlogo"
"virus-1"
"09/05/2021 05:50:16:705 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","no-of-nodes","average-node-degree","rural-pop","urban-pop","initial-outbreak-area","initial-outbreak-size","prob-infected","prob-recovered","prob-resistant","tourist-rate","[step]","%-sum-total-pop-i","%-sum-total-pop-i-urban","%-sum-total-pop-i-rural","%-sum-total-pop-r","%-sum-total-pop-r-urban","%-sum-total-pop-r-rural","mean-total-pop-i-%","mean-total-pop-i-%-urban","mean-total-pop-i-%-rural","mean-total-pop-r-%","mean-total-pop-r-%-urban","mean-total-pop-r-%-rural","var-total-pop-r-%","var-total-pop-r-%-urban","var-total-pop-r-%-rural"
"46","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.035743913435527505","0.035407633865404395","0.03612151530426682","0.9114217012323415","0.9119894987470096","0.9107841323115601","0.03566983224295474","0.035348341686939046","0.0360627651447517","0.911994119834301","0.911942405020013","0.9120573268295417","1.9643627352532558E-5","1.2410461504000805E-5","2.9293966207313873E-5"
"47","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03634746206174778","0.0361416759627465","0.03684159006166962","0.9102773417059131","0.9104092622309851","0.9099605777188471","0.0363445808916296","0.03606510468846289","0.03682731251528119","0.910453549930057","0.9106170489979674","0.9101711424491215","1.7202203361603648E-5","1.0056119331307592E-5","3.048015149914295E-5"
"48","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03584938704028021","0.03569770680531056","0.03618962873208505","0.9112726211325161","0.9117115824478187","0.9102879645582083","0.03588801107204427","0.03570468103213094","0.036127750355007884","0.9110673986553053","0.9114089383849527","0.9106207697780744","1.8161991737416955E-5","1.2395690135923883E-5","2.613388990652703E-5"
"49","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03648510638297872","0.03642412702590443","0.036620723085506277","0.91017304964539","0.9102248286129058","0.9100578943998829","0.036163641850606804","0.03601631972090338","0.03636989283219158","0.9106022495544919","0.9107460616700779","0.9104009125926719","1.994626193000211E-5","1.781494706982461E-5","2.372433215960788E-5"
"50","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03639194139194139","0.03624914540678637","0.03677246140569566","0.9102040816326531","0.9100967939260912","0.9104899798638412","0.0361914318046035","0.036215800574926044","0.03614934029222821","0.910789033693289","0.9103069925537381","0.9116216502070585","2.629513956302945E-5","1.4574365185957767E-5","4.70514475024725E-5"
"52","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03563036303630363","0.03548743894693037","0.03584720699165919","0.9119141914191419","0.912401165210154","0.911175356395175","0.035447435774183314","0.03551571994574389","0.035379151602622706","0.9127038735770797","0.9128027842861013","0.912604962868058","2.042096908058104E-5","1.8946829016366366E-5","2.2579039123383E-5"
"51","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03639806607574537","0.03608309715849508","0.037095896563339406","0.9104646790222939","0.9107044702341737","0.9099334087630958","0.03604194677744447","0.035607599183011145","0.03674067986414154","0.9113979361778825","0.9116330812111081","0.9110196593853017","3.0077660295222237E-5","3.0669154142287924E-5","3.023433698900667E-5"
"54","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.0362405137186223","0.03623892725036506","0.03624325767052018","0.9107472270869819","0.9108099517704883","0.910638738616717","0.036285827893735405","0.03643627265599886","0.03608909243539089","0.910916799143459","0.9111097258093315","0.9106645104265484","3.065995591830674E-5","2.4013366982444354E-5","4.05430358199994E-5"
"53","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03651625033575074","0.036615834585207827","0.036310293960096586","0.9100107440236368","0.910147953633491","0.9097269723016573","0.03598368956813601","0.03659267426521639","0.035004018533702365","0.9101688997828014","0.9098143226775938","0.9107393064303086","5.197593222272481E-5","2.082245312604657E-5","1.0476529546960153E-4"
"55","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03596302428256071","0.03623310681249904","0.035270158592735426","0.9109133554083885","0.9106367638712053","0.9116229192082169","0.03521716800160498","0.03653151136892649","0.03324565295062275","0.8961020995461207","0.9103485113286409","0.8747324818723405","0.013858099380571599","1.4032025160238202E-5","0.034733492182268455"
"56","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03623296158612144","0.03616073150970331","0.036362691428175456","0.9104615861214375","0.9101238473706548","0.9110681865428591","0.03477663378859187","0.03601802238127312","0.033357903968384735","0.8968717684303262","0.9107963613531822","0.8809579479470627","0.014031454868006074","2.2242534873374627E-5","0.030143359640987872"
"57","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03587788778877888","0.035897222585360634","0.03585373457844025","0.9114389438943894","0.9111809657369003","0.9117612126430809","0.03568877374866824","0.03591776828111094","0.03545977921622552","0.9120613239879537","0.9110622679722361","0.9130603800036711","2.592003816727808E-5","1.5109315589255015E-5","3.555949394581103E-5"
